facility,strain,Fraction Aligned To Target Genome,fastqc,plate,row,column,Fraction of Genome with >=0.75 Median Coverage
SAN,C3H,0.960512398,/data01/repository/do3643/do3643_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H89985.0_SAN07p1.fq_fastqc.txt.gz,1,H,11,0.938461538
SAN,C3H,0.960515325,/data01/repository/do3643/do3643_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H89985.0_SAN10p1.fq_fastqc.txt.gz,1,H,12,0.942307692
SAN,C3H,0.953080871,/data01/repository/do3644/do3644_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90173.0_SAN10p1.fq_fastqc.txt.gz,2,A,1,0.946153846
SAN,C3H,0.952191763,/data01/repository/do3644/do3644_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90173.0_SAN09p1.fq_fastqc.txt.gz,2,A,2,0.942307692
SAN,C3H,0.953127911,/data01/repository/do3644/do3644_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90173.0_SAN07p1.fq_fastqc.txt.gz,2,A,3,0.942307692
SAN,C3H,0.953594089,/data01/repository/do3644/do3644_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90173.0_SAN08p1.fq_fastqc.txt.gz,2,A,4,0.946153846
SAN,C3H,0.951510638,/data01/repository/do3644/do3644_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90173.0_SAN06p1.fq_fastqc.txt.gz,2,A,5,0.942307692
SAN,C3H,0.954020537,/data01/repository/do3644/do3644_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90173.0_SAN04p1.fq_fastqc.txt.gz,2,A,6,0.942307692
SAN,C3H,0.954237113,/data01/repository/do3644/do3644_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90173.0_SAN05p1.fq_fastqc.txt.gz,2,A,7,0.946153846
SAN,C3H,0.95583282,/data01/repository/do3644/do3644_unk_HCC_nodule_unk_C3HHeJC3H90173.0_SAN01p1.fq_fastqc.txt.gz,2,A,8,0.946153846
SAN,C3H,0.955774632,/data01/repository/do3645/do3645_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90402.0_SAN04p1.fq_fastqc.txt.gz,2,A,9,0.942307692
SAN,C3H,0.955936576,/data01/repository/do3645/do3645_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90402.0_SAN05p1.fq_fastqc.txt.gz,2,A,10,0.942307692
SAN,C3H,0.953218636,/data01/repository/do3645/do3645_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90402.0_SAN06p1.fq_fastqc.txt.gz,2,A,11,0.942307692
SAN,C3H,0.957466311,/data01/repository/do3645/do3645_unk_HCC_nodule_unk_C3HHeJC3H90402.0_SAN01p1.fq_fastqc.txt.gz,2,A,12,0.934615385
SAN,C3H,0.95456613,/data01/repository/do3645/do3645_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90402.0_SAN10p1.fq_fastqc.txt.gz,2,B,1,0.946153846
SAN,C3H,0.953756912,/data01/repository/do3645/do3645_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90402.0_SAN09p1.fq_fastqc.txt.gz,2,B,2,0.946153846
SAN,C3H,0.955035585,/data01/repository/do3645/do3645_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90402.0_SAN08p1.fq_fastqc.txt.gz,2,B,3,0.938461538
SAN,C3H,0.954704185,/data01/repository/do3645/do3645_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90402.0_SAN07p1.fq_fastqc.txt.gz,2,B,4,0.942307692
SAN,C3H,0.955246624,/data01/repository/do3646/do3646_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90732.0_SAN04p1.fq_fastqc.txt.gz,2,B,5,0.946153846
SAN,C3H,0.954217287,/data01/repository/do3646/do3646_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90732.0_SAN07p1.fq_fastqc.txt.gz,2,B,6,0.938461538
SAN,C3H,0.952763654,/data01/repository/do3646/do3646_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90732.0_SAN06p1.fq_fastqc.txt.gz,2,B,7,0.938461538
SAN,C3H,0.955309661,/data01/repository/do3646/do3646_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90732.0_SAN05p1.fq_fastqc.txt.gz,2,B,8,0.946153846
SAN,C3H,0.953296957,/data01/repository/do3646/do3646_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90732.0_SAN09p1.fq_fastqc.txt.gz,2,B,9,0.942307692
SAN,C3H,0.954106326,/data01/repository/do3646/do3646_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90732.0_SAN10p1.fq_fastqc.txt.gz,2,B,10,0.942307692
SAN,C3H,0.956875317,/data01/repository/do3646/do3646_unk_HCC_nodule_unk_C3HHeJC3H90732.0_SAN01p1.fq_fastqc.txt.gz,2,B,11,0.938461538
SAN,C3H,0.95458801,/data01/repository/do3646/do3646_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90732.0_SAN08p1.fq_fastqc.txt.gz,2,B,12,0.942307692
SAN,C3H,0.953413492,/data01/repository/do3647/do3647_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90803.0_SAN10p1.fq_fastqc.txt.gz,2,C,1,0.942307692
SAN,C3H,0.951998994,/data01/repository/do3647/do3647_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90803.0_SAN06p1.fq_fastqc.txt.gz,2,C,2,0.942307692
SAN,C3H,0.952672012,/data01/repository/do3647/do3647_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90803.0_SAN09p1.fq_fastqc.txt.gz,2,C,3,0.946153846
SAN,C3H,0.953420267,/data01/repository/do3647/do3647_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90803.0_SAN07p1.fq_fastqc.txt.gz,2,C,4,0.942307692
SAN,C3H,0.954511658,/data01/repository/do3647/do3647_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90803.0_SAN04p1.fq_fastqc.txt.gz,2,C,5,0.946153846
SAN,C3H,0.956227283,/data01/repository/do3647/do3647_unk_HCC_nodule_unk_C3HHeJC3H90803.0_SAN01p1.fq_fastqc.txt.gz,2,C,6,0.934615385
SAN,C3H,0.954767344,/data01/repository/do3647/do3647_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90803.0_SAN05p1.fq_fastqc.txt.gz,2,C,7,0.946153846
SAN,C3H,0.953744874,/data01/repository/do3647/do3647_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H90803.0_SAN08p1.fq_fastqc.txt.gz,2,C,8,0.938461538
SAN,C3H,0.950724586,/data01/repository/do3648/do3648_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H91094.0_SAN06p1.fq_fastqc.txt.gz,2,C,9,0.938461538
SAN,C3H,0.95334962,/data01/repository/do3648/do3648_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H91094.0_SAN05p1.fq_fastqc.txt.gz,2,C,10,0.946153846
SAN,C3H,0.951250652,/data01/repository/do3648/do3648_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H91094.0_SAN09p1.fq_fastqc.txt.gz,2,C,11,0.942307692
SAN,C3H,0.952597581,/data01/repository/do3648/do3648_unk_HCC_nodule_unk_C3HHeJ_Aug2014C3H91094.0_SAN08p1.fq_fastqc.txt.gz,2,C,12,0.946153846
